Recipe, Ingredients
Carrot salad with yoghurt and cinnamon,"['ground cinnamon', 'crème fraîche', 'dill', 'honey', 'apple cider vinegar', 'Greek yoghurt', 'baby carrots', 'coriander sprigs']"
Roasted butternut squash with lentils and Dolcelatte,"['sage', 'lemons', 'Puy lentils', 'mint', 'red onions', 'parsley', 'butternut squash', 'tarragon', 'dolcelatte cheese']"
"Butternut squash with sweetcorn salsa, feta and pumpkin seeds","['feta cheese', 'corn on the cob', 'limes', 'mint', 'butternut squash', 'long red chillies', 'coriander sprigs', 'toasted pumpkin seeds']"
Roasted beetroot with yoghurt and preserved lemon,"['dill', 'red onions', 'tahini', 'Greek yoghurt', 'preserved lemons', 'cumin seeds', 'beetroots']"
Whole-roasted celeriac with coriander seed oil,"['coriander seeds', 'lemons', 'olive oil', 'celeriac', 'flaked sea salt']"
Aromatic olive oil mash,"['garlic', 'lemons', 'olive oil', 'waxy potatoes', 'mint sprigs', 'thyme sprigs']"
Sweet potato mash with lime salsa,"['basil', 'limes', 'sweet potatoes', 'coriander sprigs']"
Spinach and Gorgonzola-stuffed jacket potatoes,"['Gorgonzola cheese', 'double cream', 'baking potatoes', 'baby spinach']"
Jacket potatoes with egg and tonnato sauce,"['canned anchovies', 'parsley', 'eggs', 'baking potatoes', 'egg yolks', 'flaked sea salt', 'baby capers', 'tinned tuna in oil']"
Oven chips with oregano and feta,"['feta cheese', 'garlic', 'dried oregano', 'potatoes', 'sunflower oil', 'flaked sea salt']"
Shallow-fried potatoes with rosemary and sumac,"['garlic', 'sumac', 'waxy potatoes', 'rosemary sprigs', 'thyme sprigs']"
Harissa and confit garlic roast potatoes,"['caraway seeds', 'garlic', 'potatoes', 'ground semolina', 'goose fat', 'rosemary sprigs', 'flaked sea salt', 'rose harissa', 'thyme sprigs']"
Sweet potato chips,"['ground cayenne pepper', 'polenta', 'sumac', 'sweet potatoes', 'sweet smoked paprika', 'flaked sea salt']"
Harissa-baked potato skins and crispy lettuce salad,"['lemons', 'tarragon', 'cumin seeds', 'baking potatoes', 'iceberg lettuce', 'preserved lemon rind', 'rose harissa']"
New potatoes with peas and coriander,"['lemons', 'peas', 'preserved lemons', 'green chillies', 'new potatoes', 'coriander sprigs']"
"Pizza bianca with potato, anchovy and sage","['sage', 'spring onions', 'canned anchovies', 'pecorino Romano cheese', 'lemons', 'mascarpone cheese', 'fast-action dried yeast', 'new potatoes', 'strong white bread flour']"
Buckwheat and French bean salad,"['mint', 'red onions', 'tarragon', 'Greek yoghurt', 'French beans (haricots verts)', 'buckwheat groats', 'dried mint', 'Urfa black chilli flakes']"
"Couscous, cherry tomato and herb salad","['coriander leaves', 'couscous', 'lemons', 'mint', 'onions', 'golden raisins', 'ras el hanout', 'cherry tomatoes', 'cumin seeds', 'roasted salted almonds']"
Puy lentil and aubergine stew,"['crème fraîche', 'aubergines', 'Puy lentils', 'red onions', 'thyme', 'cherry tomatoes', 'vegetable stock', 'dry white wine', 'oregano', 'Urfa black chilli flakes']"
"Bulgur with tomato, aubergine and lemon yoghurt","['ground allspice', 'aubergines', 'mint', 'onions', 'tomato paste', 'Greek yoghurt', 'preserved lemons', 'cherry tomatoes', 'bulgur wheat']"
Bulgur with mushrooms and feta,"['feta cheese', 'dill', 'onions', 'thyme', 'balsamic vinegar', 'cumin seeds', 'bulgur wheat', 'mixed mushrooms', 'Urfa black chilli flakes']"
"Puy lentils with aubergine, tomatoes and yoghurt","['aubergines', 'Puy lentils', 'Greek yoghurt', 'cherry tomatoes', 'oregano']"
Brown rice with caramelised onions and black garlic,"['lemons', 'onions', 'parsley', 'Greek yoghurt', 'brown rice', 'sunflower oil', 'black garlic']"
Baked mint rice with pomegranate and olive salsa,"['feta cheese', 'walnuts', 'pomegranate molasses', 'basmati rice', 'pomegranates', 'pitted green olives', 'mint sprigs']"
"Thai sticky rice with crispy ginger, chilli and peanuts","['sesame seeds', 'fresh ginger', 'limes', 'groundnut oil', 'red chillies', 'roasted salted peanuts', 'Thai sticky rice', 'coriander sprigs']"
Baked rice with confit tomatoes and garlic,"['cinnamon sticks', 'garlic', 'thyme', 'basmati rice', 'cherry tomatoes', 'banana shallots', 'coriander sprigs']"
Rice noodle salad with cucumber and poppy seeds,"['cucumbers', 'fresh ginger', 'mint', 'red onions', 'caster sugar', 'tarragon', 'apple cider vinegar', 'poppy seeds', 'red chillies', 'green-skinned apples', 'flat rice noodles']"
"Soba noodles with lime, cardamom and avocado","['avocados', 'basil', 'coriander leaves', 'limes', 'groundnut oil', 'pistachio nuts', 'buckwheat noodles', 'green chillies', 'green cardamom pods']"
Seaweed spaghetti and sesame salad with tahini dressing,"['sesame seeds', 'soy sauce', 'coriander leaves', 'cucumbers', 'honey', 'groundnut oil', 'tahini', 'rice wine vinegar', 'chilli flakes', 'mirin', 'seaweed spaghetti']"
Pasta alla Norma,"['basil', 'pecorino Romano cheese', 'aubergines', 'garlic', 'spaghetti pasta', 'caster sugar', 'tinned tomatoes', 'dried chillies', 'oregano']"
Fettuccine with spiced cherry tomato sauce,"['basil', 'Parmesan cheese', 'fettuccine pasta', 'caster sugar', 'cherry tomatoes', 'dried ancho chillies']"
"Pappardelle with rose harissa, black olives and capers","['onions', 'parsley', 'Greek yoghurt', 'pappardelle pasta', 'cherry tomatoes', 'rose harissa', 'baby capers', 'pitted Kalamata olives']"
Gigli with chickpeas and za'atar,"['ground cumin', 'lemons', 'parsley', 'thyme', ""za'atar"", 'chicken stock', 'baby spinach', 'tinned chickpeas', 'canned anchovies in oil', 'gigli pasta']"
"Orzo with prawns, tomato and marinated feta","['basil', 'feta cheese', 'fennel seeds', 'oranges', 'orzo pasta', 'prawns', 'vegetable stock', 'chilli flakes', 'tinned chopped tomatoes']"
Pasta with pecorino and pistachios,"['basil', 'lemons', 'mangetout', 'pistachio nuts', 'pecorino cheese', 'trofie pasta', 'canned anchovies in oil']"
Anchovy and samphire spaghetti,"['lemons', 'parsley', 'spaghetti pasta', 'dry white wine', 'samphire', 'Aleppo chilli flakes', 'canned anchovies in oil']"
Gnocchi alla Romana,"['semolina', 'Parmesan cheese', 'nutmeg', 'milk', 'egg yolks', 'mature cheddar cheese']"
Lamb and feta meatballs,"['white bread', 'feta cheese', 'ground cinnamon', 'parsley', 'thyme', 'minced lamb']"
Beef sirloin and basil salad,"['rocket', 'basil', 'pitta bread', 'Parmesan cheese', 'red chicory', 'beef sirloin steaks']"
Lamb siniyah,"['celery', 'onions', 'paprika', 'parsley', 'tomato paste', 'tomatoes', 'stewing lamb', 'baharat spice mix', 'toasted pine nuts']"
Grilled lamb fillet with almonds and orange blossom,"['almonds', 'red peppers', 'garlic', 'honey', 'lemons', 'mint', 'orange blossom water', 'thyme', 'lamb neck fillets']"
Lamb bake with tahini sauce and tomatoes,"['ground allspice', 'carrots', 'ground cumin', 'garlic', 'onions', 'tahini', 'tomato paste', 'tomatoes', 'courgettes', 'breadcrumbs', 'lamb mince', 'pecorino cheese']"
Lamb arayes with tahini and sumac,"['ground allspice', 'mint', 'sumac', 'tahini', 'tomatoes', 'pomegranate molasses', 'lamb mince', 'tortillas', 'mature cheddar cheese']"
Slow-cooked lamb shoulder with mint and cumin,"['carrots', 'ground cumin', 'fenugreek seeds', 'garlic', 'lamb shoulder', 'lemons', 'mint', 'paprika', 'celeriac', 'coriander sprigs']"
Lamb and pistachio patties with sumac yoghurt sauce,"['rocket', 'onions', 'sumac', 'Greek yoghurt', 'pistachio nuts', 'lamb mince']"
Spiced 'shepherd's pie' with butterbean crust,"['ground allspice', 'dried apricots', 'lemons', 'tahini', 'tomato paste', 'lamb mince', 'chicken stock', 'cumin seeds', 'banana shallots', 'rose harissa', 'cooked butter beans', 'pitted green olives']"
Arnold's roast chicken with caraway and cranberry stuffing,"['caraway seeds', 'celery', 'whole chicken', 'dried cranberries', 'garlic', 'onions', 'parsley', 'packaged cooked chestnuts', 'sourdough rye and wheat bread']"
Beef meatballs with lemon and celeriac,"['ground allspice', 'beef mince', 'fennel seeds', 'lemons', 'onions', 'parsley', 'turmeric', 'chicken stock', 'celeriac', 'sweet smoked paprika', 'white breadcrumbs']"
Ricotta and oregano meatballs,"['beef mince', 'Parmesan cheese', 'ricotta cheese', 'garlic', 'onions', 'parsley', 'chicken stock', 'oregano', 'white breadcrumbs', 'tinned chopped tomatoes']"
Harissa beef sirloin with pepper and lemon sauce,"['red peppers', 'lemons', 'paprika', 'parsley', 'preserved lemons', 'chilli flakes', 'beef sirloin steaks', 'flaked sea salt', 'rose harissa', 'tinned chopped tomatoes']"
Spring roast chicken with preserved lemon,"['whole chicken', 'lemons', 'thyme', 'preserved lemons']"
Chicken Marbella,"['bay leaves', 'capers', 'garlic', 'Medjool dates', 'dry white wine', 'chicken legs', 'date molasses', 'oregano', 'pitted green olives']"
"Chicken with miso, ginger and lime","['spring onions', 'soy sauce', 'fresh ginger', 'limes', 'maple syrup', 'sunflower oil', 'mirin', 'red chillies', 'chicken legs', 'white miso', 'coriander stems']"
"Pork with ginger, spring onion and aubergine","['spring onions', 'aubergines', 'garlic', 'fresh ginger', 'groundnut oil', 'sesame oil', 'rice vinegar', 'pork mince', 'mirin', 'green chillies', 'kecap manis', 'roasted salted peanuts', 'dark soy sauce', 'coriander sprigs', 'toasted sesame seeds']"
Seeded chicken schnitzel,"['sesame seeds', 'ground cayenne pepper', 'coriander seeds', 'lemons', 'turmeric', 'sunflower oil', 'panko breadcrumbs', 'sunflower seeds', 'black sesame seeds', 'chicken breast fillets']"
Slow-cooked chicken with a crisp corn crust,"['corn', 'red onions', 'tomatoes', 'dark chocolate', 'tomato passata', 'sweet smoked paprika', 'coriander sprigs', 'rose harissa', 'chicken thigh fillets', 'jarred roasted bell peppers']"
Trout tartare with burnt butter and pistachios,"['shallots', 'lemons', 'caster sugar', 'tarragon', 'butter', 'cumin seeds', 'flaked sea salt', 'trout fillets', 'slivered pistachio nuts']"
Mackerel with pistachio and cardamom salsa,"['basil', 'double cream', 'soured cream', 'fresh ginger', 'limes', 'sunflower oil', 'green chillies', 'cardamom pods', 'coriander sprigs', 'mackerel fillets', 'toasted pistachio nuts']"
Bridget Jones's pan-fried salmon with pine nut salsa,"['saffron threads', 'salmon fillets', 'capers in brine', 'celery', 'lemons', 'parsley', 'pine nuts', 'currants', 'pitted green olives']"
"Roasted trout with tomato, orange and barberry salsa","['coriander leaves', 'fennel seeds', 'limes', 'maple syrup', 'oranges', 'whole trout', 'cherry tomatoes', 'barberries']"
Chilli fish with tahini,"['caraway seeds', 'coriander leaves', 'caster sugar', 'tahini', 'tomato paste', 'tomatoes', 'red chillies', 'halibut steaks', 'dried ancho chillies']"
Coconut-crusted fish fingers,"['coconut', 'limes', 'chilli flakes', 'panko breadcrumbs', 'haddock', 'coconut cream']"
"Fishcake tacos with mango, lime and cumin yoghurt","['coriander leaves', 'limes', 'mangoes', 'red onions', 'Greek yoghurt', 'corn tortillas', 'cumin seeds', 'red chillies', 'plaice fillets']"
Smoked fish and parsnip cakes,"['chives', 'dill', 'lemons', 'parsnips', 'smoked cod']"
"Charred prawn, sweetcorn and tomato salad","['fresh ginger', 'limes', 'marjoram\r\n                                    \r\n                                \r\n                                    \n Marjoram (Origanum majorana, syn. Majorana hortensis Moench, Majorana majorana (L.) H. Karst[2]) is a somewhat cold-sensitive perennial herb or undershrub with sweet pine and citrus flavors. In some Middle-eastern countries, marjoram is synonymous with oregano, and there the names sweet marjoram and knotted marjoram are used to distinguish it from other plants of the genus Origanum. [Wikipedia]', 'red onions', 'caster sugar', 'cherry tomatoes', 'Sriracha sauce', 'tiger prawns', 'frozen sweetcorn']"
Squid and red pepper stew,"['ground allspice', 'bay leaves', 'red peppers', 'caraway seeds', 'onions', 'thyme', 'tomato paste', 'squid']"
Whole roasted sea bass with soy and ginger,"['spring onions', 'fresh ginger', 'groundnut oil', 'sesame oil', 'caster sugar', 'red chillies', 'Shaoxing wine', 'white cabbage', 'light soy sauce', 'flaked sea salt', 'coriander sprigs', 'whole sea bass']"
Rose harissa chickpeas with flaked cod,"['cod', 'ground cumin', 'tomato paste', 'preserved lemons', 'cardamom pods', 'coriander sprigs', 'tinned chickpeas', 'rose harissa']"
Prawn and corn fritters,"['ground coriander', 'ground cumin', 'limes', 'chilli flakes', 'smoked paprika', 'king prawns', 'frozen sweetcorn', 'coriander sprigs']"
Sweet and salty cheesecake with cherries,"['feta cheese', 'double cream', 'lemons', 'oranges', 'whole star anise', 'caster sugar', 'cream cheese', 'ground almonds', 'salt', 'black sesame seeds', 'frozen cherries', 'blanched hazelnuts']"
Vanilla custard with roasted strawberries and rhubarb,"['double cream', 'strawberries', 'caster sugar', 'vanilla extract', 'rhubarb', 'egg yolks']"
Sumac-roasted strawberries with yoghurt cream,"['double cream', 'lemons', 'mint', 'strawberries', 'sumac', 'vanilla pods', 'Greek yoghurt']"
"Plum, blackberry and bay friand bake","['blackberries', 'ground cinnamon', 'icing sugar', 'caster sugar', 'plums', 'butter', 'ground almonds', 'egg whites', 'fresh bay leaves']"
"Blueberry, almond and lemon cake","['blueberries', 'lemons', 'caster sugar', 'eggs', 'butter', 'ground almonds']"
Fig and thyme clafoutis,"['double cream', 'lemons', 'thyme', 'vanilla ice cream', 'black figs', 'dark muscovado sugar']"
Honey and yoghurt set cheesecake,"['honey', 'lemons', 'thyme', 'Greek yoghurt', 'cream cheese', 'white chocolate', 'Hobnob biscuits']"
"Hazelnut, peach and raspberry cake","['peaches', 'caster sugar', 'raspberries', 'sunflower oil', 'butter', 'blanched hazelnuts']"
Spiced apple cake,"['soured cream', 'Demerara sugar', 'caster sugar', 'self-raising flour', 'butter', 'mixed spice (UK)', 'green-skinned apples', 'cooking apples']"
"Nutella, sesame and hazelnut rolls","['oranges', 'caster sugar', 'fast-action dried yeast', 'Nutella', 'strong white bread flour', 'toasted sesame seeds', 'toasted blanched hazelnuts']"
Mint and pistachio chocolate fridge cake,"['golden syrup', 'digestive biscuits', 'pistachio nuts', 'sultanas', 'dark chocolate', 'butter', 'rum', 'mint dark chocolate']"
Brunsli chocolate cookies,"['Chinese five-spice powder', 'oranges', 'granulated sugar', 'ground almonds', 'egg whites', 'Dutch-process cocoa powder']"
No-churn raspberry ice cream,"['double cream', 'caster sugar', 'raspberries', 'egg yolks']"
